date,state,usage,tavg,tmin,tmax,prcp
2019-01-02,Delhi,85.8,13.8,6.5,23.0,0.0
2019-01-02,Karnataka,206.3,19.9,12.4,28.1,0.0
2019-01-02,Maharashtra,428.6,25.5,14.6,31.0,0.0
2019-01-02,Rajasthan,234.1,19.9,12.4,28.1,0.0
2019-01-02,Tamil Nadu,268.3,24.4,19.3,29.0,0.0
2019-01-02,Uttar Pradesh,313.9,14.7,6.7,22.9,0.0
2019-01-03,Delhi,85.5,13.5,6.7,23.4,0.0
2019-01-03,Karnataka,212.2,20.2,13.1,27.9,0.0
2019-01-03,Maharashtra,419.6,25.4,14.7,32.0,0.0
2019-01-03,Rajasthan,240.2,20.2,13.1,27.9,0.0
2019-01-03,Tamil Nadu,285.2,24.4,19.2,30.0,0.0
2019-01-03,Uttar Pradesh,311.8,14.9,7.1,22.9,0.0
2019-01-04,Delhi,83.5,12.2,7.1,20.5,0.0
2019-01-04,Karnataka,205.3,20.8,13.3,28.5,0.0
2019-01-04,Maharashtra,395.8,26.3,15.0,33.0,0.0
2019-01-04,Rajasthan,239.8,20.8,13.3,28.5,0.0
2019-01-04,Tamil Nadu,270.3,24.7,19.6,30.0,0.0
2019-01-04,Uttar Pradesh,320.7,14.8,8.4,22.7,0.0
2019-01-05,Delhi,79.2,13.2,5.4,21.0,0.0
2019-01-05,Karnataka,212.4,20.4,13.6,28.6,0.0
2019-01-05,Maharashtra,411.1,24.8,15.2,30.0,0.0
2019-01-05,Rajasthan,239.1,20.4,13.6,28.6,0.0
2019-01-05,Tamil Nadu,286.8,24.8,19.9,29.5,0.0
2019-01-05,Uttar Pradesh,299.0,15.5,7.8,23.4,0.0
2019-01-06,Delhi,76.6,13.9,8.6,21.2,2.0
2019-01-06,Karnataka,217.5,20.6,14.7,28.4,0.0
2019-01-06,Maharashtra,408.6,24.7,14.4,31.0,0.0
2019-01-06,Rajasthan,240.4,20.6,14.7,28.4,0.0
2019-01-06,Tamil Nadu,298.3,25.0,20.0,30.0,0.0
2019-01-06,Uttar Pradesh,286.8,15.7,11.6,22.5,0.0
2019-01-07,Delhi,71.1,13.2,7.1,20.0,0.0
2019-01-07,Karnataka,217.4,20.7,14.7,28.6,0.0
2019-01-07,Maharashtra,408.1,25.7,14.2,32.9,0.0
2019-01-07,Rajasthan,241.9,20.7,14.7,28.6,0.0
2019-01-07,Tamil Nadu,294.2,24.9,20.6,30.4,0.0
2019-01-07,Uttar Pradesh,294.2,15.4,11.9,22.1,0.0
2019-01-08,Delhi,69.0,13.6,7.0,20.1,0.0
2019-01-08,Karnataka,201.0,21.3,15.2,29.3,0.0
2019-01-08,Maharashtra,398.2,25.2,16.3,32.0,0.0
2019-01-08,Rajasthan,237.2,21.3,15.2,29.3,0.0
2019-01-08,Tamil Nadu,279.2,24.8,20.0,30.6,0.0
2019-01-08,Uttar Pradesh,289.4,14.5,10.1,23.3,0.0
2019-01-09,Delhi,89.2,13.5,8.0,20.4,0.0
2019-01-09,Karnataka,173.6,21.3,13.2,29.6,0.0
2019-01-09,Maharashtra,400.9,24.2,13.8,29.4,0.0
2019-01-09,Rajasthan,197.0,21.3,13.2,29.6,0.0
2019-01-09,Tamil Nadu,280.4,24.7,18.2,30.6,0.0
2019-01-09,Uttar Pradesh,258.6,14.0,8.1,23.4,0.0
2019-01-10,Delhi,92.8,12.2,4.8,20.6,0.0
2019-01-10,Karnataka,176.0,21.1,14.5,30.4,0.0
2019-01-10,Maharashtra,409.7,25.5,14.6,31.0,0.0
2019-01-10,Rajasthan,199.9,21.1,14.5,30.4,0.0
2019-01-10,Tamil Nadu,290.8,24.9,19.6,30.1,0.0
2019-01-10,Uttar Pradesh,284.2,13.7,7.5,22.5,0.0
2019-01-11,Delhi,79.5,12.7,4.8,21.6,0.0
2019-01-11,Karnataka,157.0,21.4,14.5,29.7,0.0
2019-01-11,Maharashtra,405.2,24.6,15.4,30.6,0.0
2019-01-11,Rajasthan,187.7,21.4,14.5,29.7,0.0
2019-01-11,Tamil Nadu,270.5,25.2,20.6,29.0,0.0
2019-01-11,Uttar Pradesh,281.4,14.7,8.1,22.9,0.0
2019-01-12,Delhi,92.6,13.8,7.1,22.3,0.0
2019-01-12,Karnataka,163.5,21.4,15.3,29.7,0.0
2019-01-12,Maharashtra,421.8,24.0,15.2,29.2,0.0
2019-01-12,Rajasthan,189.9,21.4,15.3,29.7,0.0
2019-01-12,Tamil Nadu,298.4,25.1,19.4,29.8,0.0
2019-01-12,Uttar Pradesh,298.6,14.8,7.7,24.1,0.0
2019-01-13,Delhi,89.4,15.8,8.5,22.9,0.0
2019-01-13,Karnataka,162.4,21.5,14.3,28.8,0.0
2019-01-13,Maharashtra,408.3,24.2,14.0,29.6,0.0
2019-01-13,Rajasthan,186.9,21.5,14.3,28.8,0.0
